rank,word,meaning
193,personnes,people
194,femme,women
195,nom,name
196,prix,price
197,également,also
198,point,point
199,seul,alone
200,vais,go
201,eux,them
202,lieu,place
203,lors,during
204,organisation,organization
205,droit,right
206,selon,according to
207,coup,cut
208,mettre,put
209,serait,would be
210,pense,think
211,quelque,some
212,tant,so much
213,avais,had
214,groupe,band
215,maintenant,now
216,maison,house
217,saint,saint
218,tête,head
219,étaient,were
220,aime,love
221,aurait,would have
222,avons,have
223,enfants,children
224,famille,family
225,parler,talk
226,suite,following
227,assez,enough
228,besoin,need
229,demande,request
230,genre,gender
231,savoir,to know
232,société,company
233,trouve,find
234,celle,that
235,côté,side
236,passe,pass
237,?tat,state
238,question,question
239,raison,reason
240,sens,sense
241,ailleurs,elsewhere
242,avez,have
243,certains,some
244,devant,in front
245,dis,say
246,jeu,game
247,soir,evening
248,souvent,often
249,effet,effect
250,général,general
251,jean,jeans
252,ni,neither
253,partir,leave
254,surtout,above all
255,équipe,team
256,choses,things
257,dernier,last
258,enfin,finally
259,font,make
260,nombre,number
261,parle,speak
262,porte,door
263,seulement,only
264,site,site
265,eau,water
266,ensemble,together
267,hommes,men
268,petite,small
269,femmes,women
270,mère,mother
271,passer,pass
272,près,close
273,quel,what
274,tes,your
275,vois,see
276,aucun,none
277,loi,law
278,parti,party
279,pris,taken
280,père,father
281,rapport,report
282,dès,of the
283,peuvent,can
284,pu,could
285,trouver,find
286,autant,as much
287,face,face
288,fille,girl
289,fut,was
290,gouvernement,government
291,gros,fat
292,guerre,war
293,niveau,level
294,passé,pass
295,pourrait,could
296,quatre,four
297,semaine,week
298,service,service
299,seule,alone
300,accord,agreement
301,article,article
302,donne,given
303,donner,give
304,ligne,line
305,problème,issue
306,président,president
307,vient,come
308,cause,cause
309,crois,believe
310,dieu,god
311,début,beginning
312,exemple,example
313,fils,son
314,jeune,young
315,mis,put
316,système,system
317,air,air
318,aucune,none
319,bas,down
320,centre,center
321,façon,way
322,am?ricain,american
323,heures,hours
324,loin,far
325,possible,possible
326,projet,project
327,conseil,advice
328,dernière,last
329,idée,idea
330,notamment,notably
331,nuit,night
332,vont,are going
333,étais,was
334,argent,money
335,tour,round
336,vue,view
337,êtes,are
338,an,year
339,aura,will have
340,dessus,above
341,film,movie
342,meilleur,best
343,corps,body
344,ensuite,next
345,forme,shape
346,haut,high
347,or,gold
348,plutôt,instead
349,the,tea
350,arrive,arrived
351,avaient,had
352,chef,chief
353,europe,europe
354,fort,strong
355,public,audience
356,tard,late
357,ayant,having
358,main,hand
359,terre,earth
360,titre,title
361,matin,morning
362,mise,putting
363,plan,plan
364,saison,season
365,sait,knows
366,type,kind
367,afin,in order to
368,ah,oh
369,aide,help
370,belle,beautiful
371,choix,choice
372,française,french
373,long,long
374,minutes,minutes
375,retour,back
376,situation,situation
377,sommes,are
378,vite,quickly
379,yeux,eyes
380,amour,love
381,base,base
382,journée,daytime
383,nord,north
384,parfois,sometimes
385,donné,given
386,etc,etc
387,grâce,grace
388,moyen,average
389,ordre,order
390,prend,takes
391,école,school
392,étant,being
393,but,aim
394,cinq,five
395,jour,day
396,mars,march
397,pierre,rock
398,québec,quebec
399,semble,seems
400,sujet,subject
401,truc,thing
402,agit,acts
403,enfant,child
404,ministre,minister
405,nouvelles,news
406,parfois,sometimes
407,jeune,young
408,rue,street
409,sud,south
410,super,great
411,sûr,on
412,unis,united
413,vidéo,video
414,amis,friends
415,art,art
416,beau,beautiful
417,compris,understood
418,gauche,left
419,livre,book
420,musique,music
421,région,region
422,entreprise,business
423,jeunes,young people
424,longtemps,a long time
425,match,match
426,permet,allow
427,simple,simple
428,voilà,there
429,voit,see
430,chambre,bedroom
431,deuxième,second
432,importe,imported
433,in,in
434,juin,june
435,lorsque,when
436,mai,may
437,peur,fear
438,plein,full
439,police,police
440,septembre,september
441,sécurité,security
442,série,series
443,ancien,ancient
444,anglais,english
445,certaines,some
446,grands,big
447,important,important
448,jouer,play
449,membres,members
450,merde,shit
451,parmi,among
452,peine,penalty
453,presque,almost
454,services,services
455,tellement,such
456,époque,era
457,allez,go on
458,doute,doubt
459,force,strength
460,lire,read
461,marché,walk
462,mot,word
463,points,points
464,recherche,research
465,santé,health
466,seront,will be
467,train,train
468,voix,voice
469,écrit,writing
470,affaires,business
471,autour,around
472,avis,notice
473,cependant,however
474,développement,development
475,faites,do
476,hier,yesterday
477,juillet,july
478,ouest,west
479,nationale,national
480,nombreux,many
481,parents,parents
482,propre,own
483,rendre,give back
484,vivre,live
485,droite,right
486,environ,approximately
487,fond,bottom
488,mec,dude
489,mesure,measure
490,ouais,yeah
491,pourtant,yet
492,trouvé,find
493,abord,on board
494,affaire,affair
495,envie,envy
496,longtemps,for a long time
497,laquelle,which
498,nouveaux,new
499,octobre,october
500,pouvez,can
