rank,word,meaning
191,acuerdo,agreement
192,cualquier,any
193,dios,god
194,fueron,were
195,manera,manner
196,nombre,name
197,unos,some
198,ley,law
199,medio,half
200,partido,game
201,bajo,low
202,fuera,out
203,hacia,toward
204,sino,but
205,da,da
206,grupo,cluster
207,haber,have
208,hombre,man
209,puedo,i can
210,buena,good
211,mujer,women
212,persona,person
213,será,will be
214,sistema,system
215,casi,almost
216,fin,end
217,hizo,did
218,noche,evening
219,nosotros,us
220,pasado,past
221,presidente,president
222,quiere,wants
223,tenemos,have
224,tus,your
225,eres,are
226,méxico,mexico
227,ahí,there
228,cosa,stuff
229,dentro,inside
230,españa,spain
231,estamos,we are
232,familia,family
233,lado,side
234,aún,still
235,buen,good
236,podemos,can
237,misma,same
238,pueblo,town
239,tenía,had
240,esos,those
241,final,end
242,mujeres,women
243,política,policy
244,problema,problem
245,punto,spot
246,agua,water
247,alguna,some
248,equipo,equipment
249,guerra,war
250,saber,to know
251,sé,he
252,vamos,come on
253,van,they go
254,ante,in view of
255,dar,give
256,embargo,embargo
257,favor,favor
258,gusta,like
259,importante,important
260,información,information
261,mañana,tomorrow
262,pasa,happens
263,semana,week
264,tienes,have
265,claro,clear
266,dinero,money
267,san,saint
268,social,social
269,ejemplo,example
270,estados,states
271,horas,hours
272,igual,equal
273,millones,million
274,número,number
275,ti,you
276,algunas,some
277,hablar,talk
278,hora,hour
279,madre,mother
280,señor,sir
281,siendo,being
282,centro,center
283,derecho,right
284,falta,lack
285,grandes,big
286,haciendo,doing
287,hombres,men
288,nuestros,our
289,puedes,can
290,amigos,friends
291,buenos,good
292,cambio,change
293,idea,idea
294,mierda,shit
295,muerte,death
296,problemas,issues
297,tarde,late
298,tras,after
299,través,through
300,tú,you
301,meses,months
302,podría,could
303,realidad,reality
304,the,the
305,algún,some
306,amor,love
307,dicho,saying
308,eran,were
309,frente,forehead
310,incluso,even
311,primero,first
312,real,real
313,vas,you go
314,cuatro,four
315,desarrollo,development
316,hijo,son
317,sociedad,society
318,tema,issue
319,varios,several
320,esas,those
321,mí,my
322,nivel,level
323,niños,children
324,seguro,sure
325,sería,i would be
326,argentina,argentina
327,hacen,do
328,hemos,we have
329,juego,game
330,llegar,arrive
331,mano,hand
332,paso,passed
333,posible,possible
334,proyecto,project
335,sigue,go on
336,somos,are
337,unidos,joined
338,uso,use
339,artículo,article
340,cerca,near
341,cierto,true
342,grande,big
343,países,countries
344,quién,who
345,razón,reason
346,sabe,know
347,todavía,still
348,amigo,friend
349,madrid,madrid
350,mayoría,most
351,padre,father
352,salir,go out
353,seguridad,security
354,tierra,land
355,visto,seen
356,único,only
357,cuerpo,body
358,programa,program
359,segundo,second
360,unas,nails
361,universidad,university
362,último,last
363,cabeza,head
364,foto,photo
365,haya,is
366,internacional,international
367,palabras,words
368,pasar,pass
369,público,public
370,seguir,continue
371,servicio,service
372,situación,situation
373,ayuda,aid
374,juan,juan
375,libro,book
376,siguiente,following
377,veo,i see
378,datos,data
379,dejar,leave
380,educación,education
381,proceso,process
382,sentido,sense
383,cinco,five
384,clase,class
385,cuanto,how much
386,derechos,rights
387,ello,it
388,estás,are
389,hijos,children
390,mes,month
391,usted,you
392,largo,long
393,ningún,none
394,orden,order
395,puesto,position
396,quieres,want
397,realmente,really
398,alto,high
399,demás,others
400,dicen,they say
401,diferentes,different
402,español,spanish
403,junto,together
404,lista,list
405,medios,media
406,ninguna,none
407,personal,staff
408,total,total
409,trata,treats
410,video,video
411,viene,comes
412,web,web
413,base,base
414,camino,path
415,digo,say
416,empresa,company
417,especial,special
418,hola,hello
419,paz,peace
420,policía,police
421,queda,is left over
422,salud,health
423,sitio,place
424,tomar,to take
425,tuvo,had
426,zona,area
427,calle,street
428,cara,face
429,línea,line
430,mundial,world
431,obra,construction site
432,ojos,eyes
433,os,you
434,pensar,think
435,servicios,services
436,sociales,social
437,allí,over there
438,atención,attention
439,debería,ought
440,escuela,school
441,julio,july
442,pueda,can
443,quieren,they want
444,respecto,regard
445,segunda,second
446,siento,i feel
447,ve,go
448,vivir,live
449,capital,capital
450,casos,cases
451,etc,etc
452,libre,free
453,luz,light
454,mejores,best
455,población,population
456,quienes,who
457,relación,relationship
458,sabes,you know
459,suerte,luck
460,varias,several
461,bastante,quite
462,cultura,culture
463,debido,due
464,difícil,difficult
465,dio,gave
466,estaban,were
467,fotos,photos
468,fuerte,strong
469,fácil,easy
470,habla,speaks
471,miedo,fear
472,minutos,minutes
473,música,music
474,poner,put
475,pregunta,ask
476,rey,king
477,vos,you
478,apoyo,support
479,dado,given
480,deja,leaves
481,demasiado,too much
482,espero,wait
483,fuerza,force
484,iba,was going
485,josé,josé
486,manos,hands
487,mayo,may
488,mucha,a lot
489,oficial,official
490,propio,own
491,buenas,hello good
492,chile,chili
493,control,control
494,deben,they must
495,empresas,companies
496,encontrar,find
497,inglés,english
498,marzo,march
499,peor,worse
500,serie,series
