rank,word,meaning
371,dessen,whose
372,direkt,direct
373,echt,real
374,halten,hold
375,kleinen,small
376,schule,school
377,solche,such
378,zeigt,shows
379,überhaupt,at all
380,anders,different
381,essen,eat
382,lang,long
383,usa,usa
384,abend,evening
385,dank,thanks to
386,ebenfalls,also
387,eher,rather
388,hinter,behind
389,mag,likes
390,musik,music
391,münchen,munich
392,pro,per
393,wasser,water
394,alten,old
395,bald,soon
396,erhalten,receive
397,junge,boy
398,lieber,dear
399,nachdem,after
400,ort,location
401,sofort,immediately
402,zweiten,second
403,aller,all
404,auto,car
405,bringen,bring
406,danach,thereafter
407,deutlich,clearly
408,dr,dr
409,finde,find
410,hand,hand
411,jede,every
412,kopf,head
413,männer,men
414,nächsten,next
415,unserer,ours
416,us,us
417,damals,at that time
418,endlich,finally
419,eu,eu
420,fünf,five
421,gefunden,found
422,gilt,applies
423,person,person
424,schwer,difficult
425,wichtig,important
426,zeigen,show
427,egal,doesn't matter
428,gesellschaft,company
429,hoch,high
430,letzte,last
431,stark,strong
432,alter,age
433,anfang,beginning
434,gegenüber,opposite
435,kind,child
436,oben,above
437,rund,around
438,spd,spd
439,strasse,street
440,bekannt,known
441,bisher,until now
442,eltern,parents
443,europa,europe
444,gott,god
445,hätten,would have
446,los,go
447,mutter,mother
448,wochen,weeks
449,augen,eyes
450,beste,best
451,braucht,needs
452,denke,think
453,gruppe,group
454,her,here
455,is,is
456,meisten,most
457,millionen,million
458,schreiben,write
459,treffen,meet
460,trotzdem,despite it
461,artikel,article
462,bestimmt,certainly
463,deutsch,german
464,folge,consequence
465,glück,happiness
466,herr,mr
467,hilfe,help
468,leicht,light
469,mehrere,several
470,niemand,no one
471,politik,policy
472,sache,matter
473,scheint,appears
474,zunächst,first
475,alte,old ones
476,bayern,bavaria
477,bisschen,a little
478,denken,think
479,fand,found
480,film,film
481,internet,internet
482,laut,loud
483,lesen,read
484,oh,oh
485,personen,persons
486,regierung,government
487,richtung,direction
488,schliesslich,finally
489,stellt,provides
490,team,team
491,and,and
492,buch,book
493,dinge,things
494,dürfen,may
495,früher,earlier
496,geworden,become
497,prozent,percent
498,sohn,son
499,spass,fun
500,stelle,place
